earliest_cr_line,revol_util,dti,annual_inc,open_acc,loan_amnt,total_acc,revol_bal,fico_score,term,home_ownership,verification_status,pub_rec,application_type,pub_rec_bankruptcies,loan_approval
1998.0,23.0,15.11,4.662757831681574,8.0,10000.0,12.0,3.693990610460777,707.0,36 months,RENT,Source Verified,1,Individual,1,1
1999.0,64.4,26.29,4.653212513775344,14.0,12000.0,27.0,4.35173834558076,692.0,36 months,RENT,Verified,0,Individual,0,0
2000.0,17.4,20.05,4.653212513775344,22.0,9600.0,35.0,3.6242820958356683,687.0,36 months,RENT,Verified,1,Individual,1,1
1991.0,74.4,17.29,5.1303337684950066,15.0,35000.0,21.0,4.161787118745523,677.0,60 months,MORTGAGE,Verified,2+,Individual,0,1
2005.0,59.7,17.89,4.623249290397901,10.0,14500.0,19.0,3.843855422623161,707.0,36 months,RENT,Not Verified,0,Individual,0,1
2006.0,73.2,6.18,4.903089986991944,6.0,20000.0,14.0,3.8285310066451013,697.0,36 months,MORTGAGE,Source Verified,0,Individual,0,0
2005.0,56.8,21.67,4.556302500767287,3.0,6575.0,7.0,3.7877437716464666,662.0,36 months,RENT,Not Verified,0,Individual,0,1
2006.0,0.8,22.18,4.641236075704003,6.0,10375.0,36.0,2.2764618041732443,717.0,60 months,OWN,Verified,0,Individual,0,1
2004.0,78.8,37.37,4.633468455579586,7.0,7200.0,22.0,3.8409212001987716,677.0,36 months,RENT,Verified,0,Individual,0,1
2000.0,31.5,5.34,4.944482672150168,5.0,16000.0,16.0,4.153204900084284,672.0,60 months,RENT,Source Verified,0,Individual,0,1
2006.0,47.0,3.91,4.869231719730976,9.0,19000.0,22.0,4.2965555060882235,707.0,60 months,MORTGAGE,Not Verified,1,Individual,1,1
1993.0,5.4,8.56,5.278753600952829,11.0,2300.0,24.0,3.6022770843001926,792.0,36 months,MORTGAGE,Not Verified,0,Individual,0,1
1999.0,27.0,25.46,4.740362689494244,11.0,12000.0,23.0,3.8869980456710995,682.0,36 months,MORTGAGE,Verified,0,Individual,0,1
2003.0,46.1,23.3,4.724275869600789,16.0,4000.0,20.0,4.159296426688385,677.0,36 months,RENT,Source Verified,0,Individual,0,1
2005.0,66.2,23.54,4.812913356642856,19.0,9000.0,47.0,3.9413623357117613,687.0,36 months,RENT,Source Verified,0,Individual,0,1
1998.0,90.6,26.21,4.778151250383644,10.0,15000.0,33.0,4.404388935530544,682.0,36 months,MORTGAGE,Not Verified,0,Individual,0,1
1997.0,53.4,12.08,4.778151250383644,6.0,3800.0,25.0,3.390581878550435,692.0,36 months,RENT,Source Verified,0,Individual,0,1
1997.0,34.8,9.3,5.0,8.0,15000.0,33.0,3.6516656039229356,692.0,60 months,MORTGAGE,Not Verified,0,Individual,0,1
1997.0,41.3,27.04,5.176091259055681,16.0,40000.0,41.0,4.752309714568028,717.0,36 months,RENT,Source Verified,0,Individual,0,1
1999.0,52.2,21.64,4.99563519459755,17.0,11200.0,37.0,4.2440048280914535,682.0,60 months,RENT,Verified,0,Individual,0,0
2007.0,25.9,14.37,4.653212513775344,7.0,1200.0,14.0,3.3624824747511743,687.0,36 months,RENT,Source Verified,0,Individual,0,1
2000.0,53.8,22.05,4.903089986991944,15.0,2800.0,26.0,4.345491356474646,707.0,36 months,MORTGAGE,Source Verified,0,Individual,0,1
1980.0,70.1,21.6,4.556302500767287,10.0,7750.0,24.0,4.254257967223835,672.0,60 months,RENT,Not Verified,0,Individual,0,1
1984.0,21.7,18.56,4.57978359661681,10.0,8400.0,16.0,4.047430640155542,747.0,36 months,RENT,Not Verified,0,Individual,0,1
2006.0,95.9,8.7,4.7205561912397505,4.0,15700.0,7.0,3.774078800752519,667.0,36 months,RENT,Source Verified,0,Individual,0,1
2001.0,47.0,19.42,4.8750612633917,10.0,2500.0,26.0,4.189181397180737,677.0,36 months,MORTGAGE,Source Verified,0,Individual,0,1
2000.0,82.8,12.7,4.991226075692495,10.0,14000.0,20.0,3.831997677235896,712.0,36 months,MORTGAGE,Not Verified,0,Individual,0,1
2005.0,88.8,22.06,4.267171728403014,5.0,6600.0,9.0,3.9167170775988125,712.0,36 months,RENT,Source Verified,0,Individual,0,1
2001.0,65.1,16.86,4.763427993562937,15.0,5000.0,31.0,4.318835191727664,692.0,36 months,MORTGAGE,Source Verified,0,Individual,0,1
2003.0,30.7,9.23,4.812913356642856,13.0,20000.0,27.0,4.307324853645366,727.0,36 months,MORTGAGE,Source Verified,0,Individual,0,1
1995.0,35.8,29.06,4.924279286061882,16.0,23475.0,35.0,4.592087890098257,722.0,36 months,MORTGAGE,Not Verified,0,Individual,0,0
2004.0,82.1,23.3,4.722633922533812,11.0,12000.0,22.0,4.110320296840297,672.0,36 months,RENT,Not Verified,0,Individual,0,1
2009.0,28.4,24.79,4.57978359661681,10.0,6000.0,14.0,3.577261953585815,682.0,36 months,RENT,Not Verified,0,Individual,0,1
2000.0,33.4,26.65,4.643452676486188,16.0,19600.0,32.0,4.179523067035285,707.0,36 months,RENT,Not Verified,0,Individual,0,0
1996.0,42.8,8.44,4.778151250383644,10.0,5000.0,14.0,3.4307198878632823,672.0,36 months,RENT,Source Verified,0,Individual,0,1
1991.0,65.6,4.53,4.8750612633917,2.0,2000.0,24.0,2.720159303405957,662.0,36 months,MORTGAGE,Source Verified,0,Individual,0,1
2005.0,61.2,10.37,5.113943352306837,11.0,35000.0,18.0,4.341889355714299,677.0,60 months,MORTGAGE,Verified,0,Individual,0,1
1987.0,30.3,14.74,4.977723605288848,16.0,18000.0,45.0,4.06039561731991,682.0,60 months,MORTGAGE,Verified,1,Individual,1,1
2001.0,77.0,12.36,5.008600171761918,11.0,35000.0,27.0,4.616874440415016,672.0,36 months,MORTGAGE,Verified,0,Individual,0,1
2004.0,36.5,18.52,4.740362689494244,11.0,25700.0,16.0,4.086644520610805,692.0,60 months,RENT,Verified,0,Individual,0,0
2010.0,2.8,13.06,4.763427993562937,8.0,40000.0,17.0,2.979092900638326,752.0,36 months,OWN,Source Verified,0,Individual,0,1
